epoch,train_loss,val_rmse,secs
0,480.09476,20.88827,28
1,394.96133,18.52212,27
2,290.25733,15.41962,26
3,190.36836,12.24030,26
4,110.73714,8.85412,27
5,56.25429,6.14086,26
6,25.38422,4.14561,26
7,9.74698,2.20131,26
8,2.81429,1.41418,26
9,1.64883,1.04163,26
10,1.26977,1.05597,26
11,1.09440,0.88463,26
12,0.97909,0.86437,26
13,0.88381,0.81524,27
14,0.82097,0.80500,26
15,0.76262,0.77810,27
16,0.71822,0.80101,26
17,0.68535,0.76417,26
18,0.66280,0.77408,26
19,0.63292,0.74788,26
20,0.61500,0.75162,26
21,0.58262,0.74178,26
22,0.57710,0.73542,26
23,0.56151,0.74439,27
24,0.53273,0.70698,27
25,0.46069,0.69060,26
26,0.44332,0.69332,26
27,0.43071,0.68643,26
28,0.40596,0.68718,26
29,0.39600,0.69359,26
