epoch,train_loss,val_rmse,secs
0,0.52410,0.79394,29
1,0.43007,0.76048,28
2,0.39515,0.72452,28
3,0.36827,0.73880,28
4,0.33950,0.71855,28
5,0.31283,0.72839,28
6,0.28652,0.72961,28
7,0.25864,0.74655,28
8,0.23695,0.73558,28
9,0.22286,0.74081,27
10,0.20804,0.73838,28
11,0.19409,0.73533,28
12,0.18211,0.74225,28
13,0.17530,0.73731,27
14,0.16985,0.73399,28
15,0.16040,0.74673,28
16,0.15624,0.74217,28
17,0.15293,0.75349,28
18,0.14754,0.74381,28
19,0.14278,0.74496,28
20,0.14101,0.74533,28
21,0.13612,0.75408,28
22,0.13250,0.75004,28
23,0.12987,0.75838,28
24,0.12992,0.74988,28
25,0.12680,0.75253,28
26,0.12304,0.75493,28
27,0.12212,0.75836,28
28,0.11880,0.75275,28
29,0.11826,0.76109,28
