epoch,train_loss,val_rmse,secs
0,474.77227,20.96880,26
1,387.24101,18.44077,25
2,279.14903,15.18021,24
3,179.66237,11.99861,24
4,106.31396,9.09648,24
5,59.48905,6.33988,24
6,25.45291,4.19675,24
7,11.49660,3.03925,24
8,6.26140,2.26249,24
9,3.43169,1.52721,25
10,1.29204,1.01045,24
11,0.84264,0.96304,24
12,0.69427,0.86244,25
13,0.61561,0.87571,24
14,0.56591,0.78301,24
15,0.52511,0.76774,25
16,0.50082,0.77421,24
17,0.48349,0.75069,25
18,0.45502,0.76020,24
19,0.44173,0.73873,25
20,0.42362,0.73414,25
21,0.40929,0.73912,25
22,0.39027,0.74187,25
23,0.38194,0.75894,25
24,0.37130,0.73830,25
25,0.36390,0.72934,25
26,0.34217,0.73961,25
27,0.34659,0.73815,24
28,0.32976,0.72870,25
29,0.31686,0.73704,25
