epoch,train_loss,val_rmse,secs
0,0.53235,0.76122,29
1,0.44080,0.75001,29
2,0.40667,0.74534,28
3,0.37962,0.73484,28
4,0.35177,0.73565,28
5,0.32917,0.72353,28
6,0.29966,0.73219,28
7,0.27460,0.73510,28
8,0.25087,0.74648,28
9,0.23580,0.74262,28
10,0.21856,0.74127,28
11,0.20217,0.75324,28
12,0.19255,0.74927,28
13,0.18328,0.75563,28
14,0.17465,0.75974,28
15,0.17035,0.75771,28
16,0.16226,0.76548,28
17,0.15731,0.75262,28
18,0.15137,0.75103,28
19,0.14947,0.76280,27
20,0.14299,0.77335,28
21,0.14142,0.76445,28
22,0.13723,0.76493,28
23,0.13246,0.75995,28
24,0.13087,0.76089,28
25,0.12824,0.75693,28
26,0.12801,0.77743,28
27,0.12355,0.76614,28
28,0.12107,0.76373,28
29,0.11876,0.76582,28
