epoch,train_loss,val_rmse,secs
0,367.83433,18.69041,67
1,200.29582,11.90810,65
2,69.52477,6.18805,66
3,15.98597,2.79078,66
4,3.31528,1.51768,66
5,1.02289,1.14427,66
6,0.68053,0.97779,66
7,0.52949,0.90221,65
8,0.45368,0.86111,66
9,0.39698,0.79471,65
10,0.32065,0.72940,65
11,0.25700,0.68617,66
12,0.23271,0.71937,65
13,0.21330,0.67602,66
14,0.19813,0.65673,66
15,0.18747,0.65512,66
16,0.18135,0.65434,65
17,0.17192,0.66576,66
18,0.16259,0.66984,66
19,0.15435,0.66424,66
