epoch,train_loss,val_rmse,secs
0,478.88589,21.02221,28
1,391.06831,18.42487,27
2,282.89952,15.22586,27
3,181.95745,11.87688,27
4,107.87922,9.05200,27
5,63.96406,7.18277,26
6,41.71454,6.30072,27
7,15.76894,3.03563,26
8,6.51238,2.02570,26
9,3.28290,1.49958,26
10,2.02970,1.22696,27
11,1.47063,1.06318,27
12,1.18749,0.91802,27
13,0.97631,0.83545,26
14,0.86971,0.80760,26
15,0.79743,0.76269,26
16,0.76604,0.79071,27
17,0.73664,0.74989,26
18,0.69465,0.72337,27
19,0.67596,0.71751,26
20,0.65850,0.72352,27
21,0.63886,0.70852,27
22,0.61269,0.69704,27
23,0.59949,0.69252,27
24,0.59141,0.68543,27
25,0.58143,0.72050,27
26,0.56794,0.69899,27
27,0.56264,0.68091,27
28,0.54887,0.67349,27
29,0.53753,0.68580,27
