epoch,train_loss,val_rmse,secs
0,478.75473,21.00456,26
1,388.64462,18.73443,25
2,282.95250,15.28478,24
3,179.05960,11.65007,24
4,102.84427,8.66246,24
5,55.56624,6.34923,24
6,27.60701,4.39433,24
7,13.17510,3.17317,24
8,6.81672,2.31453,24
9,3.92341,1.92664,24
10,2.49545,1.51155,25
11,1.73382,1.29397,24
12,1.22712,1.07445,25
13,0.86989,0.94464,25
14,0.67551,0.88197,25
15,0.55965,0.82280,24
16,0.49453,0.78616,25
17,0.45331,0.75714,24
18,0.42152,0.74911,25
19,0.38535,0.75135,25
20,0.36536,0.77207,24
21,0.35571,0.73530,25
22,0.32576,0.69735,25
23,0.30621,0.70377,24
24,0.29269,0.69776,25
25,0.28071,0.68986,24
26,0.26565,0.71061,24
27,0.26409,0.71078,25
28,0.24609,0.68958,24
29,0.23938,0.69206,24
